CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,TELEFONO,_digits,_norm,CAUSA
12-18-0018-46,SAN MARCOS,OCOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
12-26-4710-46,SAN MARCOS,SIPACAPA,COLEGIO PARTICULAR INTERCULTURAL SIPAKAPENSE,,,,Vacío
12-29-0045-46,SAN MARCOS,SAN LORENZO,COLEIO CRISTIANO,574479,574479,574479,Fragmento (6 díg)
06-13-1811-46,SANTA ROSA,PUEBLO NUEVO VIÑAS,LICEO PARTICULAR MIXTO SAN ANTONIO,,,,Vacío
10-01-2106-46,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO CENTRAL DE SUCHITEPEQUEZ,,,,Vacío
10-06-2286-46,SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ,COLEGIO PRIVADO MIXTO DE DIVERSIFICADO SHALEM,,,,Vacío
10-07-2509-46,SUCHITEPEQUEZ,SAN LORENZO,COLEGIO PRIVADO MIXTO LICEO LORENZANO,,,,Vacío
10-15-0040-46,SUCHITEPEQUEZ,SANTA BARBARA,COLEGIO PRIVADO MIXTO SANTA BARBARA,4210394058993785,4210394058993785,4210394058993785,Concatenado (8+8)
10-15-0043-46,SUCHITEPEQUEZ,SANTA BARBARA,COLEGIO PRIVADO MIXTO SANTA BARBARA,4210394058993780,4210394058993780,4210394058993780,Concatenado (8+8)
10-19-0014-46,SUCHITEPEQUEZ,PUEBLO NUEVO,COLEGIO EVANGELICO PRIVADO MIXTO NUEVA VISION,4281099156375310,4281099156375310,4281099156375310,Concatenado (8+8)
08-01-0233-46,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,56769964-7766328,7766328,,7 díg sin regla clara
01-06-0075-46,GUATEMALA,CHINAUTLA,INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON,,,,Vacío
01-06-3001-46,GUATEMALA,CHINAUTLA,INSTITUTO MUNICIPAL MIXTO NOCTURNO BASICO Y BACHILLERATO POR MADUREZ DE CHINAUTLA,,,,Vacío
01-08-0023-46,GUATEMALA,MIXCO,LICEO MIXTO JUVENTUD GUATEMALTECA,,,,Vacío
01-15-0108-46,GUATEMALA,VILLA NUEVA,COLEGIO MIXTO REAL EL VALLE,,,,Vacío
01-15-0173-46,GUATEMALA,VILLA NUEVA,COLEGIO EVANGELICO BET-EL SHAMMA,,,,Vacío
01-17-0289-46,GUATEMALA,SAN MIGUEL PETAPA,CENTRO CULTURAL SAGRADA FAMILIA NO. 2,40,40,40,Fragmento (2 díg)
22-02-0006-46,JUTIAPA,EL PROGRESO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
22-05-0053-46,JUTIAPA,ASUNCION MITA,COLEGIO PARTICULAR MIXTO INTEGRAL JOSHUA,,,,Vacío
22-05-2265-46,JUTIAPA,ASUNCION MITA,LICEO MITECO,,,,Vacío
22-07-0330-46,JUTIAPA,ATESCATEMPA,INSTITUTO PARTICULAR MIXTO DE CIENCIAS COMERCIALES,,,,Vacío
22-07-2198-46,JUTIAPA,ATESCATEMPA,LICEO ATESCATEMPA,,,,Vacío
22-12-2462-46,JUTIAPA,JALPATAGUA,COLEGIO EVANGELICO CRISTIANORIOS DE AGUA VIVA,,,,Vacío
22-14-2276-46,JUTIAPA,MOYUTA,INSTITUTO DIVERSIFICADO MUNICIPAL,,,,Vacío
22-16-0014-46,JUTIAPA,SAN JOSE ACATEMPA,COLEGIO PARTICULAR MIXTO DE DIVERSIFICADO EMANUEL,37097818
17-01-0172-46,PETEN,FLORES,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADO B0KOBA,41289778
17-05-0167-46,PETEN,LA LIBERTAD,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
17-09-0156-46,PETEN,SAN LUIS,COLEGIO MIXTO PRIVADO EBEN EZER,,,,Vacío
14-03-0027-46,QUICHE,CHINIQUE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,00000000,00000000,00000000,8 díg prefijo inválido
11-01-0126-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,,,,Vacío
11-01-0127-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,,,,Vacío
11-01-0140-46,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ DESARROLLO INTEGRADOR,,,,Vacío
11-01-0142-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,,,,Vacío
11-01-0159-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,,,,Vacío
11-01-1329-46,RETALHULEU,RETALHULEU,COLEGIO CIENTIFICO ALBERT EINSTEIN,,,,Vacío
11-02-1498-46,RETALHULEU,SAN SEBASTIAN,CENTRO EDUCACIONAL MARIA ALICIA GUTIERREZ,,,,Vacío
11-06-1470-46,RETALHULEU,SAN ANDRES VILLA SECA,COLEGIO CIENTIFICO INDUSTRIAL EL TRIUNFO,,,,Vacío
12-13-0032-46,SAN MARCOS,EL TUMBADOR,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
12-18-0018-46,SAN MARCOS,OCOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
12-26-4710-46,SAN MARCOS,SIPACAPA,COLEGIO PARTICULAR INTERCULTURAL SIPAKAPENSE,,,,Vacío
12-29-0045-46,SAN MARCOS,SAN LORENZO,COLEIO CRISTIANO,574479,574479,574479,Fragmento (6 díg)
06-13-1811-46,SANTA ROSA,PUEBLO NUEVO VIÑAS,LICEO PARTICULAR MIXTO SAN ANTONIO,,,,Vacío
10-01-2106-46,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO CENTRAL DE SUCHITEPEQUEZ,,,,Vacío
10-06-2286-46,SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ,COLEGIO PRIVADO MIXTO DE DIVERSIFICADO SHALEM,,,,Vacío
10-07-2509-46,SUCHITEPEQUEZ,SAN LORENZO,COLEGIO PRIVADO MIXTO LICEO LORENZANO,,,,Vacío
10-15-0040-46,SUCHITEPEQUEZ,SANTA BARBARA,COLEGIO PRIVADO MIXTO SANTA BARBARA,4210394058993785,4210394058993785,4210394058993785,Concatenado (8+8)
10-15-0043-46,SUCHITEPEQUEZ,SANTA BARBARA,COLEGIO PRIVADO MIXTO SANTA BARBARA,4210394058993780,4210394058993780,4210394058993780,Concatenado (8+8)
10-19-0014-46,SUCHITEPEQUEZ,PUEBLO NUEVO,COLEGIO EVANGELICO PRIVADO MIXTO NUEVA VISION,4281099156375310,4281099156375310,4281099156375310,Concatenado (8+8)
08-01-0233-46,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,56769964-7766328,7766328,,7 díg sin regla clara
